"tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
0.0,72.0,0.0,335859.0,72.0,0.0,0.0,72.0,0.0,0.0,2.5
1.0,75.0,23.560567158286595,335859.0,72.0,0.0,17549.300622568073,73.0,0.0,22.691008711947138,0.35
2.0,77.0,114.67146151740573,335859.0,73.0,0.0,17400.395781444622,78.0,0.0,112.35030897246122,0.35
3.0,79.0,192.57799797562646,335859.0,73.0,0.0,17271.672894286177,82.0,0.0,185.26626359873813,0.35
4.0,81.0,249.7368462825315,335859.0,73.0,0.0,17141.136094674526,85.0,0.0,241.43887259055154,0.35
5.0,84.0,272.03075411209034,335859.0,73.0,0.0,17008.395997196538,86.0,0.0,264.12571594808315,0.35
6.0,87.0,294.1316243951345,335859.0,73.0,0.0,16834.36049228846,87.0,0.0,286.8111708541921,0.35
7.0,90.0,367.47975467582046,335859.0,73.0,0.0,16663.50549279314,91.0,0.0,359.72249730887836,0.35
8.0,92.0,442.68148013823895,335859.0,73.0,0.0,16490.463102937712,95.0,0.0,432.6324353121419,0.25
9.0,94.0,480.3521845501452,335859.0,73.0,0.0,16391.158132647426,97.0,0.0,472.0566076811238,0.25
10.0,96.0,520.3848383829935,335859.0,73.0,0.0,16291.417491620592,99.0,0.0,511.4798544158239,0.25
11.0,99.0,579.222243815042,335859.0,73.0,0.0,16192.811086854803,102.0,0.0,567.6445955169074,0.25
12.0,102.0,638.0521804244875,335859.0,73.0,0.0,16034.582936910247,105.0,0.0,623.807948166632,0.25
13.0,105.0,676.4755089725389,335859.0,73.0,0.0,15875.120046801874,107.0,0.0,663.2274923649337,0.25
14.0,107.0,731.678881255287,335859.0,73.0,0.0,15718.02004992983,110.0,0.0,719.3880681118126,0.25
15.0,109.0,769.9880330172213,335859.0,73.0,0.0,15580.046504369564,113.0,0.0,758.8052982244096,0.25
16.0,111.0,843.7075769899717,335859.0,73.0,0.0,15440.878960511913,117.0,0.0,831.7064427027246,0.25
17.0,114.0,868.3121023075764,335859.0,73.0,0.0,15297.523066115025,118.0,0.0,854.379401546758,0.25
18.0,117.0,975.7441700903814,335859.0,73.0,0.0,15108.311367895109,124.0,0.0,960.7630719393682,0.2
19.0,120.0,1101.0145660705653,335859.0,73.0,0.0,14923.53424443579,131.0,0.0,1083.8877738805559,0.2
20.0,122.0,1194.9665086432994,335859.0,73.0,0.0,14737.751698820599,136.0,0.0,1173.526247370321,0.2
21.0,124.0,1252.4652825927228,335859.0,73.0,0.0,14631.6380751504,139.0,0.0,1229.6789552258042,0.2
22.0,126.0,1256.052638263579,335859.0,73.0,0.0,14524.466286428651,139.0,0.0,1235.6034774470054,0.2
