"tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
0.0,72.0,0.0,335859.0,72.0,0.0,0.0,72.0,0.0,0.0,2.5
1.0,75.0,22.044571800978893,335859.0,72.0,0.0,25188.665369649818,73.0,0.0,22.691008711947138,0.35
2.0,77.0,111.4499893207217,335859.0,72.0,0.0,25030.524050435903,78.0,0.0,112.35030897246122,0.35
3.0,80.0,180.08778906479833,335859.0,72.0,0.0,24893.088283378802,82.0,0.0,185.2662635987381,0.35
4.0,83.0,234.83118432776695,335859.0,72.0,0.0,24747.555365207965,85.0,0.0,241.43840977341063,0.35
5.0,87.0,260.30796233665905,335859.0,72.0,0.0,24590.9901074934,86.0,0.0,264.12432749666044,0.35
6.0,90.0,282.0215975944342,335859.0,72.0,0.0,24372.087027658694,87.0,0.0,286.8083939513467,0.35
7.0,93.0,353.2001216463683,335859.0,72.0,0.0,24176.6469763092,91.0,0.0,359.7183319546104,0.25
8.0,95.0,426.9189231333468,335859.0,72.0,0.0,23991.24341387387,95.0,0.0,432.62688150645135,0.25
9.0,97.0,464.6420712714514,335859.0,72.0,0.0,23882.692391643253,97.0,0.0,472.0496654240105,0.25
10.0,99.0,502.3026812702854,335859.0,72.0,0.0,23767.134492437377,99.0,0.0,511.47152370728793,0.25
11.0,102.0,557.3509121854134,335859.0,72.0,0.0,23662.252203072578,102.0,0.0,567.6348763569475,0.25
12.0,105.0,611.9607315706969,335859.0,72.0,0.0,23492.393681747264,105.0,0.0,623.7968405552492,0.25
13.0,108.0,650.0637933735288,335859.0,72.0,0.0,23325.414683623345,107.0,0.0,663.2149963021282,0.25
14.0,110.0,707.4469691796203,335859.0,72.0,0.0,23157.955130706214,110.0,0.0,719.3741835975842,0.25
15.0,112.0,761.7220153594241,335859.0,72.0,0.0,23012.173339576904,113.0,0.0,775.5324452587583,0.25
16.0,115.0,832.6560984055611,335859.0,72.0,0.0,22858.78103044495,117.0,0.0,848.4322012856505,0.25
17.0,119.0,856.2528966343351,335859.0,72.0,0.0,22690.935420896505,118.0,0.0,871.1033088611201,0.2
18.0,123.0,958.2776613707262,335859.0,72.0,0.0,22457.17216059994,124.0,0.0,977.4846651680256,0.2
19.0,126.0,1075.5955126882216,335859.0,72.0,0.0,22246.15337135707,131.0,0.0,1100.6065902063676,0.2
20.0,128.0,1165.8526936361932,335859.0,72.0,0.0,22045.096272563973,136.0,0.0,1190.2422867932871,0.2
21.0,130.0,1225.273507076128,335859.0,72.0,0.0,21926.537475576435,139.0,0.0,1246.3922177459247,0.2
22.0,132.0,1229.1959178006164,335859.0,72.0,0.0,21796.94340655042,139.0,0.0,1252.3139630642802,0.2
